date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:01	16466/16466	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/privacy-policy.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/privacy-policy.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:01	2860/2860	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:14%20GMT	https://templates.envytheme.com/depan/default/coming-soon.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/coming-soon.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:02	15078/15078	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:15%20GMT	https://templates.envytheme.com/depan/default/contact.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/contact.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:02	114417/114417	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c5-1bef9%22	https://templates.envytheme.com/depan/default/assets/img/main-news/main-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/main-news/main-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:02	81728/81728	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c5-13f48%22	https://templates.envytheme.com/depan/default/assets/img/main-news/main-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/main-news/main-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:02	43205/43205	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c5-a8cd%22	https://templates.envytheme.com/depan/default/assets/img/main-news/main-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/main-news/main-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:02	36865/36865	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c5-9009%22	https://templates.envytheme.com/depan/default/assets/img/main-news/main-news-4.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/main-news/main-news-4.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:03	82825/82825	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c8-14391%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:03	78358/78358	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c8-1321e%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:03	165922/165922	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c8-2882a%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:03	18187/18187	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c8-4713%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-4.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-4.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:04	56314/56314	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c8-dc02%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-5.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-5.jpg	(from https://templates.envytheme.com/depan/default/index.html)
